name,administrative_area R(administrative_areas),cultivation_variety R(varieties),expected_yield D,irrigated B,production_usage R(production_usages)
avena_yield_16,france_department_charente,avena,43.0,,
avena_yield_17,france_department_charente_maritime,avena,38.0,,
avena_yield_24,france_department_dordogne,avena,39.0,,
avena_yield_33,france_department_gironde,avena,39.0,,
avena_yield_40,france_department_landes,avena,43.0,,
avena_yield_47,france_department_lot_et_garonne,avena,44.0,,
avena_yield_64,france_department_pyrenees_atlantiques,avena,40.0,,
avena_yield_79,france_department_deux_sevres,avena,42.0,,
avena_yield_86,france_department_vienne,avena,42.0,,
brown_tobacco_yield_24,france_department_dordogne,nicotiana_tabacum_brown,25.0,,
brown_tobacco_yield_33,france_department_gironde,nicotiana_tabacum_brown,29.0,,
brown_tobacco_yield_40,france_department_landes,nicotiana_tabacum_brown,29.0,,
brown_tobacco_yield_47,france_department_lot_et_garonne,nicotiana_tabacum_brown,28.0,,
brown_tobacco_yield_64,france_department_pyrenees_atlantiques,nicotiana_tabacum_brown,27.0,,
burley_tobacco_yield_24,france_department_dordogne,nicotiana_tabacum_burley,27.0,,
burley_tobacco_yield_33,france_department_gironde,nicotiana_tabacum_burley,27.0,,
burley_tobacco_yield_40,france_department_landes,nicotiana_tabacum_burley,25.0,,
burley_tobacco_yield_47,france_department_lot_et_garonne,nicotiana_tabacum_burley,26.0,,
burley_tobacco_yield_64,france_department_pyrenees_atlantiques,nicotiana_tabacum_burley,26.0,,
fodder_corn_yield_16,france_department_charente,zea,99.0,,fodder
fodder_corn_yield_17,france_department_charente_maritime,zea,118.0,,fodder
fodder_corn_yield_79,france_department_deux_sevres,zea,114.0,,fodder
fodder_corn_yield_86,france_department_vienne,zea,110.0,,fodder
grain_corn_yield_24,france_department_dordogne,zea,54.0,,
grain_corn_yield_33,france_department_gironde,zea,70.0,,
grain_corn_yield_40,france_department_landes,zea,83.0,,
grain_corn_yield_47,france_department_lot_et_garonne,zea,71.0,,
grain_corn_yield_64,france_department_pyrenees_atlantiques,zea,82.0,,
grain_sorghum_yield_16,france_department_charente,sorghum,52.0,,
grain_sorghum_yield_17,france_department_charente_maritime,sorghum,56.0,,
grain_sorghum_yield_24,france_department_dordogne,sorghum,62.0,,
grain_sorghum_yield_33,france_department_gironde,sorghum,64.0,,
grain_sorghum_yield_40,france_department_landes,sorghum,63.0,,
grain_sorghum_yield_47,france_department_lot_et_garonne,sorghum,67.0,,
grain_sorghum_yield_64,france_department_pyrenees_atlantiques,sorghum,63.0,,
grain_sorghum_yield_79,france_department_deux_sevres,sorghum,53.0,,
grain_sorghum_yield_86,france_department_vienne,sorghum,53.0,,
hard_wheat_yield_24,france_department_dordogne,triticum_durum,49.0,,
hard_wheat_yield_33,france_department_gironde,triticum_durum,49.0,,
hard_wheat_yield_40,france_department_landes,triticum_durum,50.0,,
hard_wheat_yield_47,france_department_lot_et_garonne,triticum_durum,51.0,,
hard_wheat_yield_64,france_department_pyrenees_atlantiques,triticum_durum,50.0,,
irrigated_grain_corn_yield_24,france_department_dordogne,zea,93.0,true,
irrigated_grain_corn_yield_33,france_department_gironde,zea,106.0,true,
irrigated_grain_corn_yield_40,france_department_landes,zea,113.0,true,
irrigated_grain_corn_yield_47,france_department_lot_et_garonne,zea,98.0,true,
irrigated_grain_corn_yield_64,france_department_pyrenees_atlantiques,zea,110.0,true,
poa_yield_16,france_department_charente,poa,48.0,,
poa_yield_17,france_department_charente_maritime,poa,49.0,,
poa_yield_24,france_department_dordogne,poa,42.0,,
poa_yield_33,france_department_gironde,poa,45.0,,
poa_yield_40,france_department_landes,poa,47.0,,
poa_yield_47,france_department_lot_et_garonne,poa,49.0,,
poa_yield_64,france_department_pyrenees_atlantiques,poa,42.0,,
poa_yield_79,france_department_deux_sevres,poa,45.0,,
poa_yield_86,france_department_vienne,poa,50.0,,
rapeseed_yield_24,france_department_dordogne,brassica_napus,23.0,,
rapeseed_yield_33,france_department_gironde,brassica_napus,25.0,,
rapeseed_yield_40,france_department_landes,brassica_napus,27.0,,
rapeseed_yield_47,france_department_lot_et_garonne,brassica_napus,30.0,,
rapeseed_yield_64,france_department_pyrenees_atlantiques,brassica_napus,28.0,,
secale_yield_16,france_department_charente,secale,48.0,,
secale_yield_17,france_department_charente_maritime,secale,49.0,,
secale_yield_24,france_department_dordogne,secale,37.0,,
secale_yield_33,france_department_gironde,secale,40.0,,
secale_yield_40,france_department_landes,secale,39.0,,
secale_yield_47,france_department_lot_et_garonne,secale,41.0,,
secale_yield_64,france_department_pyrenees_atlantiques,secale,39.0,,
secale_yield_79,france_department_deux_sevres,secale,45.0,,
secale_yield_86,france_department_vienne,secale,50.0,,
seed_corn_yield_16,france_department_charente,zea,35.0,,seed
seed_corn_yield_17,france_department_charente_maritime,zea,35.0,,seed
seed_corn_yield_24,france_department_dordogne,zea,34.0,,seed
seed_corn_yield_33,france_department_gironde,zea,35.0,,seed
seed_corn_yield_40,france_department_landes,zea,36.0,,seed
seed_corn_yield_47,france_department_lot_et_garonne,zea,35.0,,seed
seed_corn_yield_64,france_department_pyrenees_atlantiques,zea,36.0,,seed
seed_corn_yield_79,france_department_deux_sevres,zea,35.0,,seed
seed_corn_yield_86,france_department_vienne,zea,35.0,,seed
soybean_yield_24,france_department_dordogne,glycine_max,23.0,,
soybean_yield_33,france_department_gironde,glycine_max,24.0,,
soybean_yield_40,france_department_landes,glycine_max,23.0,,
soybean_yield_47,france_department_lot_et_garonne,glycine_max,26.0,,
soybean_yield_64,france_department_pyrenees_atlantiques,glycine_max,24.0,,
spring_barley_yield_24,france_department_dordogne,hordeum_distichum,40.0,,
spring_barley_yield_33,france_department_gironde,hordeum_distichum,41.0,,
spring_barley_yield_40,france_department_landes,hordeum_distichum,44.0,,
spring_barley_yield_47,france_department_lot_et_garonne,hordeum_distichum,48.0,,
spring_barley_yield_64,france_department_pyrenees_atlantiques,hordeum_distichum,42.0,,
sunflower_yield_24,france_department_dordogne,helianthus,24.0,,
sunflower_yield_33,france_department_gironde,helianthus,24.0,,
sunflower_yield_40,france_department_landes,helianthus,24.0,,
sunflower_yield_47,france_department_lot_et_garonne,helianthus,26.0,,
sunflower_yield_64,france_department_pyrenees_atlantiques,helianthus,26.0,,
sweet_grain_corn_yield_24,france_department_dordogne,zea_mays_saccharata,195.0,,
sweet_grain_corn_yield_33,france_department_gironde,zea_mays_saccharata,198.0,,
sweet_grain_corn_yield_40,france_department_landes,zea_mays_saccharata,198.0,,
sweet_grain_corn_yield_47,france_department_lot_et_garonne,zea_mays_saccharata,196.0,,
sweet_grain_corn_yield_64,france_department_pyrenees_atlantiques,zea_mays_saccharata,198.0,,
triticosecale_yield_24,france_department_dordogne,triticosecale,47.0,,
triticosecale_yield_33,france_department_gironde,triticosecale,46.0,,
triticosecale_yield_40,france_department_landes,triticosecale,48.0,,
triticosecale_yield_47,france_department_lot_et_garonne,triticosecale,51.0,,
triticosecale_yield_64,france_department_pyrenees_atlantiques,triticosecale,48.0,,
virginia_tobacco_yield_24,france_department_dordogne,nicotiana_tabacum_virginie,27.0,,
virginia_tobacco_yield_33,france_department_gironde,nicotiana_tabacum_virginie,27.0,,
virginia_tobacco_yield_40,france_department_landes,nicotiana_tabacum_virginie,25.0,,
virginia_tobacco_yield_47,france_department_lot_et_garonne,nicotiana_tabacum_virginie,26.0,,
virginia_tobacco_yield_64,france_department_pyrenees_atlantiques,nicotiana_tabacum_virginie,26.0,,
walnut_yield_24,france_department_dordogne,juglans,19.0,,
walnut_yield_33,france_department_gironde,juglans,19.0,,
walnut_yield_40,france_department_landes,juglans,18.0,,
walnut_yield_47,france_department_lot_et_garonne,juglans,20.0,,
walnut_yield_64,france_department_pyrenees_atlantiques,juglans,19.0,,
wheat_yield_24,france_department_dordogne,triticum_aestivum,48.0,,
wheat_yield_33,france_department_gironde,triticum_aestivum,49.0,,
wheat_yield_40,france_department_landes,triticum_aestivum,51.0,,
wheat_yield_47,france_department_lot_et_garonne,triticum_aestivum,54.0,,
wheat_yield_64,france_department_pyrenees_atlantiques,triticum_aestivum,53.0,,
winter_barley_yield_24,france_department_dordogne,hordeum_hexastichum,46.0,,
winter_barley_yield_33,france_department_gironde,hordeum_hexastichum,46.0,,
winter_barley_yield_40,france_department_landes,hordeum_hexastichum,47.0,,
winter_barley_yield_47,france_department_lot_et_garonne,hordeum_hexastichum,51.0,,
winter_barley_yield_64,france_department_pyrenees_atlantiques,hordeum_hexastichum,48.0,,
