name,cultivation_variety R(varieties),expected_yield D,irrigated B,maximum_available_water_capacity D,maximum_precocity_index D,minimum_available_water_capacity D,minimum_precocity_index D,production_usage R(production_usages),soil_nature R(soil_natures)
aubues_durum_wheat_crop_max,triticum_durum,70.0,,200.0,,120.0,,,aubues_soil
aubues_durum_wheat_crop_med,triticum_durum,63.0,,120.0,,80.0,,,aubues_soil
aubues_durum_wheat_crop_min,triticum_durum,55.0,,80.0,,0.0,,,aubues_soil
aubues_flax_crop_max,linum,35.0,,,,120.0,,,aubues_soil
aubues_flax_crop_med,linum,20.0,,120.0,,80.0,,,aubues_soil
aubues_flax_crop_min,linum,18.0,,80.0,,0.0,,,aubues_soil
aubues_grain_corn_crop_max,zea,90.0,,,500.0,120.0,320.0,,aubues_soil
aubues_grain_corn_crop_med,zea,80.0,,120.0,500.0,80.0,320.0,,aubues_soil
aubues_grain_corn_crop_min,zea,70.0,,80.0,500.0,0.0,320.0,,aubues_soil
aubues_hemp_crop_max,cannabis,12.0,,,,120.0,,,aubues_soil
aubues_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,aubues_soil
aubues_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,aubues_soil
aubues_irrigated_grain_corn_crop_max,zea,125.0,true,,400.0,120.0,320.0,,aubues_soil
aubues_irrigated_grain_corn_crop_med,zea,120.0,true,120.0,400.0,80.0,320.0,,aubues_soil
aubues_irrigated_grain_corn_crop_min,zea,115.0,true,80.0,400.0,0.0,320.0,,aubues_soil
aubues_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,aubues_soil
aubues_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,aubues_soil
aubues_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,aubues_soil
aubues_spring_barley_crop_max,hordeum_distichum,70.0,,200.0,,120.0,,,aubues_soil
aubues_spring_barley_crop_med,hordeum_distichum,60.0,,120.0,,80.0,,,aubues_soil
aubues_spring_barley_crop_min,hordeum_distichum,50.0,,80.0,,0.0,,,aubues_soil
aubues_sunflower_crop_max,helianthus,32.0,,,,120.0,,,aubues_soil
aubues_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,aubues_soil
aubues_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,aubues_soil
aubues_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,aubues_soil
aubues_triticosecale_crop_max,triticosecale,80.0,,200.0,,120.0,,,aubues_soil
aubues_triticosecale_crop_med,triticosecale,73.0,,120.0,,80.0,,,aubues_soil
aubues_triticosecale_crop_min,triticosecale,65.0,,80.0,,0.0,,,aubues_soil
aubues_wheat_crop_max,triticum_aestivum,80.0,,200.0,,120.0,,,aubues_soil
aubues_wheat_crop_med,triticum_aestivum,73.0,,120.0,,80.0,,,aubues_soil
aubues_wheat_crop_min,triticum_aestivum,65.0,,80.0,,0.0,,,aubues_soil
aubues_winter_barley_crop_max,hordeum_hexastichum,80.0,,200.0,,120.0,,,aubues_soil
aubues_winter_barley_crop_med,hordeum_hexastichum,73.0,,120.0,,80.0,,,aubues_soil
aubues_winter_barley_crop_min,hordeum_hexastichum,65.0,,80.0,,0.0,,,aubues_soil
black_valley_durum_wheat_crop_max,triticum_durum,75.0,,200.0,,120.0,,,black_valley_soil
black_valley_durum_wheat_crop_med,triticum_durum,65.0,,120.0,,80.0,,,black_valley_soil
black_valley_flax_crop_max,linum,35.0,,,,120.0,,,black_valley_soil
black_valley_flax_crop_med,linum,20.0,,120.0,,80.0,,,black_valley_soil
black_valley_flax_crop_min,linum,18.0,,80.0,,0.0,,,black_valley_soil
black_valley_grain_corn_crop_max,zea,100.0,,,400.0,120.0,320.0,,black_valley_soil
black_valley_grain_corn_crop_med,zea,90.0,,120.0,400.0,80.0,320.0,,black_valley_soil
black_valley_hemp_crop_max,cannabis,12.0,,,,120.0,,,black_valley_soil
black_valley_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,black_valley_soil
black_valley_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,black_valley_soil
black_valley_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,black_valley_soil
black_valley_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,black_valley_soil
black_valley_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,black_valley_soil
black_valley_spring_barley_crop_max,hordeum_distichum,65.0,,200.0,,120.0,,,black_valley_soil
black_valley_spring_barley_crop_med,hordeum_distichum,55.0,,120.0,,80.0,,,black_valley_soil
black_valley_spring_barley_crop_min,hordeum_distichum,45.0,,80.0,,0.0,,,black_valley_soil
black_valley_sunflower_crop_max,helianthus,32.0,,,,120.0,,,black_valley_soil
black_valley_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,black_valley_soil
black_valley_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,black_valley_soil
black_valley_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,black_valley_soil
black_valley_triticosecale_crop_max,triticosecale,85.0,,200.0,,120.0,,,black_valley_soil
black_valley_triticosecale_crop_med,triticosecale,75.0,,120.0,,80.0,,,black_valley_soil
black_valley_wheat_crop_max,triticum_aestivum,85.0,,200.0,,120.0,,,black_valley_soil
black_valley_wheat_crop_med,triticum_aestivum,75.0,,120.0,,80.0,,,black_valley_soil
black_valley_winter_barley_crop_max,hordeum_hexastichum,80.0,,200.0,,120.0,,,black_valley_soil
black_valley_winter_barley_crop_med,hordeum_hexastichum,70.0,,120.0,,80.0,,,black_valley_soil
champagne_durum_wheat_crop_max,triticum_durum,65.0,,200.0,,120.0,,,champagne_soil
champagne_durum_wheat_crop_med,triticum_durum,58.0,,120.0,,80.0,,,champagne_soil
champagne_durum_wheat_crop_min,triticum_durum,50.0,,80.0,,0.0,,,champagne_soil
champagne_flax_crop_max,linum,35.0,,,,120.0,,,champagne_soil
champagne_flax_crop_med,linum,20.0,,120.0,,80.0,,,champagne_soil
champagne_flax_crop_min,linum,18.0,,80.0,,0.0,,,champagne_soil
champagne_grain_corn_crop_max,zea,90.0,,,,120.0,320.0,,champagne_soil
champagne_grain_corn_crop_med,zea,80.0,,120.0,,80.0,320.0,,champagne_soil
champagne_grain_corn_crop_min,zea,70.0,,80.0,,0.0,320.0,,champagne_soil
champagne_hemp_crop_max,cannabis,12.0,,,,120.0,,,champagne_soil
champagne_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,champagne_soil
champagne_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,champagne_soil
champagne_irrigated_grain_corn_crop_p400_max,zea,125.0,true,,500.0,120.0,400.0,,champagne_soil
champagne_irrigated_grain_corn_crop_p400_med,zea,120.0,true,120.0,500.0,80.0,400.0,,champagne_soil
champagne_irrigated_grain_corn_crop_p400_min,zea,115.0,true,80.0,500.0,0.0,400.0,,champagne_soil
champagne_irrigated_grain_corn_crop_p500_max,zea,125.0,true,,,120.0,500.0,,champagne_soil
champagne_irrigated_grain_corn_crop_p500_med,zea,125.0,true,120.0,,80.0,500.0,,champagne_soil
champagne_irrigated_grain_corn_crop_p500_min,zea,120.0,true,80.0,,0.0,500.0,,champagne_soil
champagne_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,champagne_soil
champagne_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,champagne_soil
champagne_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,champagne_soil
champagne_spring_barley_crop_max,hordeum_distichum,70.0,,200.0,,120.0,,,champagne_soil
champagne_spring_barley_crop_med,hordeum_distichum,60.0,,120.0,,80.0,,,champagne_soil
champagne_spring_barley_crop_min,hordeum_distichum,50.0,,80.0,,0.0,,,champagne_soil
champagne_sunflower_crop_max,helianthus,32.0,,,,120.0,,,champagne_soil
champagne_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,champagne_soil
champagne_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,champagne_soil
champagne_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,champagne_soil
champagne_triticosecale_crop_max,triticosecale,75.0,,200.0,,120.0,,,champagne_soil
champagne_triticosecale_crop_med,triticosecale,68.0,,120.0,,80.0,,,champagne_soil
champagne_triticosecale_crop_min,triticosecale,60.0,,80.0,,0.0,,,champagne_soil
champagne_wheat_crop_max,triticum_aestivum,75.0,,200.0,,120.0,,,champagne_soil
champagne_wheat_crop_med,triticum_aestivum,68.0,,120.0,,80.0,,,champagne_soil
champagne_wheat_crop_min,triticum_aestivum,60.0,,80.0,,0.0,,,champagne_soil
champagne_winter_barley_crop_max,hordeum_hexastichum,75.0,,200.0,,120.0,,,champagne_soil
champagne_winter_barley_crop_med,hordeum_hexastichum,68.0,,120.0,,80.0,,,champagne_soil
champagne_winter_barley_crop_min,hordeum_hexastichum,60.0,,80.0,,0.0,,,champagne_soil
chesnut_red_flax_crop_max,linum,35.0,,,,120.0,,,chesnut_red_soil
chesnut_red_flax_crop_med,linum,20.0,,120.0,,80.0,,,chesnut_red_soil
chesnut_red_flax_crop_min,linum,18.0,,80.0,,0.0,,,chesnut_red_soil
chesnut_red_hemp_crop_max,cannabis,12.0,,,,120.0,,,chesnut_red_soil
chesnut_red_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,chesnut_red_soil
chesnut_red_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,chesnut_red_soil
chesnut_red_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,chesnut_red_soil
chesnut_red_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,chesnut_red_soil
chesnut_red_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,chesnut_red_soil
chesnut_red_sunflower_crop_max,helianthus,32.0,,,,120.0,,,chesnut_red_soil
chesnut_red_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,chesnut_red_soil
chesnut_red_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,chesnut_red_soil
chesnut_red_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,chesnut_red_soil
clay_flax_crop_max,linum,35.0,,,,120.0,,,clay_soil
clay_flax_crop_med,linum,20.0,,120.0,,80.0,,,clay_soil
clay_flax_crop_min,linum,18.0,,80.0,,0.0,,,clay_soil
clay_hemp_crop_max,cannabis,12.0,,,,120.0,,,clay_soil
clay_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,clay_soil
clay_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,clay_soil
clay_limestone_durum_wheat_crop_max,triticum_durum,65.0,,200.0,,120.0,,,clay_limestone_soil
clay_limestone_durum_wheat_crop_med,triticum_durum,55.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_durum_wheat_crop_min,triticum_durum,45.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_flax_crop_max,linum,35.0,,,,120.0,,,clay_limestone_soil
clay_limestone_flax_crop_med,linum,20.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_flax_crop_min,linum,18.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_grain_corn_crop_max,zea,80.0,,,400.0,120.0,320.0,,clay_limestone_soil
clay_limestone_hemp_crop_max,cannabis,12.0,,,,120.0,,,clay_limestone_soil
clay_limestone_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p320_max,zea,115.0,true,,400.0,120.0,320.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p320_med,zea,110.0,true,120.0,400.0,80.0,320.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p320_min,zea,105.0,true,80.0,400.0,0.0,320.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p400_max,zea,120.0,true,,500.0,120.0,400.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p400_med,zea,115.0,true,120.0,500.0,80.0,400.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p400_min,zea,110.0,true,80.0,500.0,0.0,400.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p500_max,zea,125.0,true,,,120.0,500.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p500_med,zea,120.0,true,120.0,,80.0,500.0,,clay_limestone_soil
clay_limestone_irrigated_grain_corn_crop_p500_min,zea,115.0,true,80.0,,0.0,500.0,,clay_limestone_soil
clay_limestone_irrigated_spring_barley_crop_max,hordeum_distichum,75.0,true,200.0,,120.0,,,clay_limestone_soil
clay_limestone_irrigated_spring_barley_crop_med,hordeum_distichum,70.0,true,120.0,,80.0,,,clay_limestone_soil
clay_limestone_irrigated_spring_barley_crop_min,hordeum_distichum,65.0,true,80.0,,0.0,,,clay_limestone_soil
clay_limestone_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,clay_limestone_soil
clay_limestone_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_spring_barley_crop_max,hordeum_distichum,65.0,,200.0,,120.0,,,clay_limestone_soil
clay_limestone_spring_barley_crop_med,hordeum_distichum,55.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_spring_barley_crop_min,hordeum_distichum,45.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_sunflower_crop_max,helianthus,32.0,,,,120.0,,,clay_limestone_soil
clay_limestone_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,clay_limestone_soil
clay_limestone_triticosecale_crop_max,triticosecale,75.0,,200.0,,120.0,,,clay_limestone_soil
clay_limestone_triticosecale_crop_med,triticosecale,65.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_triticosecale_crop_min,triticosecale,55.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_wheat_crop_max,triticum_aestivum,75.0,,200.0,,120.0,,,clay_limestone_soil
clay_limestone_wheat_crop_med,triticum_aestivum,65.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_wheat_crop_min,triticum_aestivum,55.0,,80.0,,0.0,,,clay_limestone_soil
clay_limestone_winter_barley_crop_max,hordeum_hexastichum,75.0,,200.0,,120.0,,,clay_limestone_soil
clay_limestone_winter_barley_crop_med,hordeum_hexastichum,65.0,,120.0,,80.0,,,clay_limestone_soil
clay_limestone_winter_barley_crop_min,hordeum_hexastichum,55.0,,80.0,,0.0,,,clay_limestone_soil
clay_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,clay_soil
clay_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,clay_soil
clay_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,clay_soil
clay_sunflower_crop_max,helianthus,32.0,,,,120.0,,,clay_soil
clay_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,clay_soil
clay_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,clay_soil
clay_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,clay_soil
flap_silt_durum_wheat_crop_max,triticum_durum,70.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_durum_wheat_crop_med,triticum_durum,60.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_durum_wheat_crop_min,triticum_durum,50.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_flax_crop_max,linum,35.0,,,,120.0,,,flap_silt_soil
flap_silt_flax_crop_med,linum,20.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_flax_crop_min,linum,18.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_grain_corn_crop_max,zea,90.0,,,500.0,120.0,320.0,,flap_silt_soil
flap_silt_grain_corn_crop_med,zea,80.0,,120.0,500.0,80.0,320.0,,flap_silt_soil
flap_silt_grain_corn_crop_min,zea,70.0,,80.0,500.0,0.0,320.0,,flap_silt_soil
flap_silt_hemp_crop_max,cannabis,12.0,,,,120.0,,,flap_silt_soil
flap_silt_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_irrigated_grain_corn_crop_p320_max,zea,115.0,true,,500.0,120.0,320.0,,flap_silt_soil
flap_silt_irrigated_grain_corn_crop_p320_med,zea,110.0,true,120.0,500.0,80.0,320.0,,flap_silt_soil
flap_silt_irrigated_grain_corn_crop_p320_min,zea,105.0,true,80.0,500.0,0.0,320.0,,flap_silt_soil
flap_silt_irrigated_grain_corn_crop_p500_max,zea,120.0,true,,,120.0,500.0,,flap_silt_soil
flap_silt_irrigated_grain_corn_crop_p500_med,zea,115.0,true,120.0,,80.0,500.0,,flap_silt_soil
flap_silt_irrigated_grain_corn_crop_p500_min,zea,110.0,true,80.0,,0.0,500.0,,flap_silt_soil
flap_silt_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,flap_silt_soil
flap_silt_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_spring_barley_crop_max,hordeum_distichum,65.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_spring_barley_crop_med,hordeum_distichum,55.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_spring_barley_crop_min,hordeum_distichum,45.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_sunflower_crop_max,helianthus,32.0,,,,120.0,,,flap_silt_soil
flap_silt_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,flap_silt_soil
flap_silt_triticosecale_crop_max,triticosecale,80.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_triticosecale_crop_med,triticosecale,70.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_triticosecale_crop_min,triticosecale,60.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_wheat_crop_max,triticum_aestivum,80.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_wheat_crop_med,triticum_aestivum,70.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_wheat_crop_min,triticum_aestivum,60.0,,80.0,,0.0,,,flap_silt_soil
flap_silt_winter_barley_crop_max,hordeum_hexastichum,80.0,,200.0,,120.0,,,flap_silt_soil
flap_silt_winter_barley_crop_med,hordeum_hexastichum,70.0,,120.0,,80.0,,,flap_silt_soil
flap_silt_winter_barley_crop_min,hordeum_hexastichum,60.0,,80.0,,0.0,,,flap_silt_soil
granite_arena_flax_crop_max,linum,35.0,,,,120.0,,,granite_arena_soil
granite_arena_flax_crop_med,linum,20.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_flax_crop_min,linum,18.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_grain_corn_crop_max,zea,90.0,,,400.0,120.0,320.0,,granite_arena_soil
granite_arena_grain_corn_crop_med,zea,80.0,,120.0,400.0,80.0,320.0,,granite_arena_soil
granite_arena_grain_corn_crop_min,zea,70.0,,80.0,400.0,0.0,320.0,,granite_arena_soil
granite_arena_hemp_crop_max,cannabis,12.0,,,,120.0,,,granite_arena_soil
granite_arena_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,granite_arena_soil
granite_arena_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_spring_barley_crop_max,hordeum_distichum,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_spring_barley_crop_med,hordeum_distichum,55.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_spring_barley_crop_min,hordeum_distichum,45.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_sunflower_crop_max,helianthus,32.0,,,,120.0,,,granite_arena_soil
granite_arena_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_tobacco_crop_min,nicotiana,29.0,,,,0.0,,,granite_arena_soil
granite_arena_triticosecale_crop_max,triticosecale,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_triticosecale_crop_med,triticosecale,58.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_triticosecale_crop_min,triticosecale,50.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_wheat_crop_max,triticum_aestivum,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_wheat_crop_med,triticum_aestivum,58.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_wheat_crop_min,triticum_aestivum,50.0,,80.0,,0.0,,,granite_arena_soil
granite_arena_winter_barley_crop_max,hordeum_hexastichum,65.0,,200.0,,120.0,,,granite_arena_soil
granite_arena_winter_barley_crop_med,hordeum_hexastichum,58.0,,120.0,,80.0,,,granite_arena_soil
granite_arena_winter_barley_crop_min,hordeum_hexastichum,50.0,,80.0,,0.0,,,granite_arena_soil
hydromorph_sandy_clay_loam_flax_crop_max,linum,35.0,,,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_flax_crop_med,linum,20.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_flax_crop_min,linum,18.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_grain_corn_crop_med,zea,75.0,,120.0,500.0,80.0,320.0,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_hemp_crop_max,cannabis,12.0,,,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_hemp_crop_med,cannabis,8.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_hemp_crop_min,cannabis,6.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_rapeseed_crop_max,brassica_napus,37.0,,,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_rapeseed_crop_med,brassica_napus,32.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_rapeseed_crop_min,brassica_napus,28.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_spring_barley_crop_max,hordeum_distichum,65.0,,200.0,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_spring_barley_crop_med,hordeum_distichum,55.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_spring_barley_crop_min,hordeum_distichum,45.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_sunflower_crop_max,helianthus,32.0,,,,120.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_sunflower_crop_med,helianthus,23.0,,120.0,,80.0,,,hydromorph_sandy_clay_loam_soil
hydromorph_sandy_clay_loam_sunflower_crop_min,helianthus,18.0,,80.0,,0.0,,,hydromorph_sandy_clay_loam_soil
